event_numer, event_time[s], pulse_height[adc]
1, 1.4335124492645264, 6985.0
2, 1.4835095405578613, 6088.0
3, 1.8054394721984863, 5942.0
4, 2.113832950592041, 23896.0
5, 2.5535850524902344, 12273.0
6, 3.273345947265625, 5937.0
7, 5.2012364864349365, 8045.0
8, 5.52143931388855, 6066.0
9, 5.641403913497925, 5982.0
10, 5.921093940734863, 1842.0
11, 6.807858467102051, 6589.0
12, 7.621014356613159, 5862.0
13, 8.361709833145142, 6481.0
14, 8.382167100906372, 6111.0
15, 8.660987138748169, 6253.0
16, 9.291231870651245, 21842.0
17, 10.011134386062622, 21633.0
18, 12.432079076766968, 7944.0
19, 12.828293800354004, 6535.0
20, 14.222256183624268, 6646.0
21, 16.661912441253662, 6146.0
22, 17.811808109283447, 6462.0
23, 18.97542428970337, 11259.0
24, 19.676247596740723, 6796.0
25, 21.62580680847168, 6221.0
26, 21.785894632339478, 6319.0
27, 21.876354694366455, 5960.0
28, 22.294885396957397, 6243.0
29, 22.436092853546143, 6036.0
30, 23.404386281967163, 6256.0
31, 23.42438530921936, 6097.0
32, 23.63381004333496, 6799.0
33, 24.054437398910522, 3013.0
34, 24.863872528076172, 6034.0
35, 25.79959464073181, 14712.0
36, 26.264179706573486, 6628.0
37, 26.584188222885132, 17911.0
38, 26.796279430389404, 15898.0
39, 26.914631128311157, 6789.0
40, 26.983861923217773, 6190.0
41, 27.802292346954346, 8019.0
42, 27.82427453994751, 6654.0
43, 29.83600425720215, 6815.0
44, 30.950024366378784, 3064.0
45, 32.19422793388367, 8050.0
46, 32.5841121673584, 23006.0
47, 33.534026861190796, 18237.0
48, 33.565054416656494, 14195.0
49, 37.06177258491516, 6778.0
50, 37.59183716773987, 5611.0
51, 40.432693004608154, 5810.0
52, 41.1526825428009, 6412.0
53, 42.5420446395874, 7185.0
54, 43.05283331871033, 19070.0
55, 44.542343854904175, 6498.0
56, 44.77225971221924, 6180.0
57, 45.88324856758118, 6596.0
58, 46.51200771331787, 14065.0
59, 47.14269042015076, 21507.0
60, 48.58254814147949, 18721.0
61, 49.02304220199585, 5622.0
62, 49.783246755599976, 12720.0
63, 51.15254807472229, 5797.0
64, 52.642321825027466, 25129.0
65, 55.052927017211914, 6450.0
66, 55.54299831390381, 6276.0
67, 55.8025848865509, 8051.0
68, 56.22255349159241, 20246.0
69, 56.312793254852295, 9816.0
70, 56.61246991157532, 15981.0
71, 57.63236665725708, 19160.0
72, 58.58295488357544, 6954.0
73, 58.86363196372986, 3188.0
74, 59.5629608631134, 22100.0
75, 60.123061656951904, 13504.0
76, 60.77307653427124, 7118.0
77, 64.81329417228699, 7087.0
78, 65.0231385231018, 23679.0
79, 66.04286122322083, 6367.0
80, 66.34270215034485, 7163.0
81, 66.66278409957886, 24900.0
82, 66.83323574066162, 6391.0
83, 67.64351797103882, 6768.0
84, 68.87286639213562, 7748.0
85, 69.75357460975647, 5945.0
86, 70.91373181343079, 20385.0
87, 74.58357310295105, 5979.0
88, 74.86331224441528, 6741.0
89, 75.44365048408508, 10351.0
90, 75.60380530357361, 6861.0
91, 75.983225107193, 7386.0
92, 78.39403128623962, 14354.0
93, 79.08176755905151, 21465.0
94, 79.1310920715332, 9186.0
95, 80.0462646484375, 10370.0
96, 80.23614859580994, 20554.0
97, 80.41684222221375, 8012.0
98, 81.46695184707642, 20966.0
99, 81.60606741905212, 19629.0
100, 82.86163687705994, 19304.0
101, 84.23142337799072, 22632.0
102, 85.86181950569153, 7169.0
103, 86.0651535987854, 6888.0
104, 86.32548713684082, 19855.0
105, 88.02578282356262, 7310.0
106, 88.09584760665894, 6590.0
107, 89.64610290527344, 24943.0
108, 89.88613390922546, 6147.0
109, 90.41603064537048, 6408.0
110, 90.91333031654358, 6228.0
111, 91.17346549034119, 7144.0
112, 91.31395292282104, 6441.0
113, 92.06595587730408, 5913.0
114, 94.0954372882843, 4227.0
115, 94.47593832015991, 7100.0
116, 95.44553256034851, 6592.0
117, 95.4955370426178, 7263.0
118, 96.01753783226013, 6101.0
119, 96.36805748939514, 5902.0
120, 96.59776878356934, 13124.0
121, 97.31799602508545, 6032.0
122, 97.43763637542725, 21297.0
123, 99.51609134674072, 6771.0
124, 100.32636213302612, 11994.0
125, 100.41611552238464, 7164.0
126, 101.89004039764404, 15115.0
127, 102.50098991394043, 6193.0
128, 102.79980134963989, 4879.0
129, 103.61000895500183, 7236.0
130, 103.99998807907104, 22223.0
131, 105.18999481201172, 7037.0
132, 106.6702299118042, 8044.0
133, 106.93080711364746, 13514.0
134, 107.55979776382446, 6507.0
135, 107.84054636955261, 6482.0
136, 108.30037426948547, 6645.0
137, 108.60055351257324, 17933.0
138, 110.62053203582764, 2369.0
139, 111.71017789840698, 23461.0
140, 113.15001010894775, 6942.0
141, 113.5899863243103, 4131.0
142, 113.64030647277832, 6863.0
143, 114.45056962966919, 6685.0
144, 116.53997492790222, 10083.0
145, 116.5707700252533, 11185.0
146, 116.59084987640381, 6185.0
147, 117.52056455612183, 6893.0
148, 119.33027338981628, 5622.0
149, 119.59081721305847, 6553.0
150, 119.8601815700531, 6700.0
151, 119.89112854003906, 7523.0
152, 119.98108005523682, 6537.0
153, 120.30057430267334, 6230.0
154, 120.51074695587158, 6402.0
155, 120.93038320541382, 20257.0
156, 122.4004898071289, 13381.0
157, 122.63044261932373, 5503.0
158, 123.57279539108276, 14182.0
159, 123.87913727760315, 6441.0
160, 125.38076734542847, 6703.0
161, 125.4708023071289, 4103.0
162, 125.99276876449585, 6762.0
163, 126.66276264190674, 5676.0
164, 130.13663053512573, 6265.0
165, 130.86329770088196, 10870.0
166, 130.92654609680176, 6574.0
167, 132.31108617782593, 6883.0
168, 133.36897945404053, 19366.0
169, 133.61900067329407, 1497.0
170, 133.6691403388977, 12281.0
171, 133.91871404647827, 14233.0
172, 134.87086987495422, 6580.0
173, 135.56467366218567, 10654.0
174, 136.87898802757263, 21241.0
175, 138.13361167907715, 6212.0
176, 138.20335364341736, 9361.0
177, 138.86386966705322, 5921.0
178, 139.90313267707825, 6525.0
179, 140.20267629623413, 14410.0
180, 141.39768481254578, 26223.0
181, 141.8565809726715, 6790.0
182, 142.27683448791504, 21489.0
183, 143.43098044395447, 6173.0
184, 144.30725240707397, 11353.0
185, 144.4670374393463, 6478.0
186, 144.99358916282654, 5807.0
187, 145.11328721046448, 21079.0
188, 146.2531533241272, 17602.0
189, 147.11334013938904, 5577.0
190, 148.03222346305847, 6147.0
191, 151.99689960479736, 6614.0
192, 153.5858051776886, 11411.0
193, 156.50359416007996, 5756.0
194, 157.07552099227905, 16089.0
