event_number, event_time[s], pp_height[adc]
1, 0.20198321342468262, 13888.0
2, 1.6808924674987793, 15938.0
3, 3.580033540725708, 26462.0
4, 3.868401050567627, 10763.0
5, 5.578263282775879, 16433.0
6, 6.975486993789673, 10175.0
7, 8.399642705917358, 13243.0
8, 9.135454893112183, 30691.0
9, 9.892418622970581, 11178.0
10, 10.239150524139404, 23332.0
11, 12.356131792068481, 17003.0
12, 13.358603239059448, 8823.0
13, 15.609015703201294, 8857.0
14, 15.758308172225952, 46095.0
15, 17.240676879882812, 9428.0
16, 18.03526735305786, 13763.0
17, 19.4430410861969, 36152.0
18, 20.274868488311768, 22715.0
19, 20.280184984207153, 10832.0
20, 20.488110542297363, 22119.0
21, 21.122638463974, 9854.0
22, 21.495986223220825, 23008.0
23, 22.605401515960693, 16345.0
24, 23.591783046722412, 14058.0
25, 23.938287258148193, 16523.0
26, 24.018242359161377, 9991.0
27, 25.554185390472412, 10152.0
28, 25.826240301132202, 25280.0
29, 26.412955045700073, 24806.0
30, 27.079164266586304, 11622.0
31, 28.0389986038208, 34180.0
32, 29.414962768554688, 30365.0
33, 30.086907625198364, 10030.0
34, 30.534959077835083, 20723.0
35, 31.036144971847534, 42747.0
36, 34.76363658905029, 16350.0
37, 37.00312566757202, 37983.0
38, 37.429718255996704, 16379.0
39, 37.86704134941101, 21745.0
40, 38.005743980407715, 15792.0
41, 38.14966034889221, 11105.0
42, 40.320048809051514, 14756.0
43, 40.87471890449524, 13406.0
44, 42.05328130722046, 35999.0
45, 42.46384930610657, 15238.0
46, 43.91433382034302, 12195.0
47, 44.143603801727295, 30157.0
48, 44.847496509552, 27093.0
49, 45.34354066848755, 21611.0
50, 45.93552589416504, 24613.0
51, 46.08482074737549, 30415.0
52, 46.639360427856445, 22715.0
53, 48.836228370666504, 28377.0
54, 49.081727504730225, 28311.0
55, 49.364211559295654, 39879.0
56, 50.2975389957428, 16194.0
57, 50.702651023864746, 27589.0
58, 52.371681928634644, 11307.0
59, 53.5609564781189, 9950.0
60, 59.58678150177002, 11586.0
61, 59.62397241592407, 12938.0
62, 59.62932515144348, 9042.0
63, 62.03444576263428, 33670.0
64, 62.04512071609497, 31881.0
65, 62.359902143478394, 12644.0
66, 64.524817943573, 11499.0
67, 65.47952246665955, 16280.0
68, 65.54343628883362, 13006.0
69, 65.80479693412781, 11916.0
70, 65.96474933624268, 15594.0
71, 66.44989657402039, 17283.0
72, 66.46061158180237, 26360.0
73, 68.04969120025635, 39158.0
74, 69.88408875465393, 14366.0
75, 70.77468681335449, 11500.0
76, 70.91326928138733, 9041.0
77, 71.09999012947083, 9184.0
78, 72.06510210037231, 43481.0
79, 73.14244484901428, 37019.0
80, 75.64307022094727, 11585.0
81, 76.02171921730042, 24591.0
82, 76.33638167381287, 18293.0
83, 76.57631421089172, 19513.0
84, 77.44014835357666, 19115.0
85, 77.85606169700623, 10252.0
86, 78.67733407020569, 10205.0
87, 79.42907929420471, 19628.0
88, 79.70116019248962, 13625.0
89, 80.29310441017151, 15159.0
90, 80.91701149940491, 30572.0
91, 81.14100646972656, 11589.0
92, 81.33296346664429, 13831.0
93, 82.46422410011292, 18877.0
94, 82.72490406036377, 14877.0
95, 82.73545479774475, 15415.0
96, 82.8847713470459, 33680.0
97, 82.90609216690063, 23157.0
98, 83.25813126564026, 24964.0
99, 85.18835687637329, 19152.0
100, 86.82033705711365, 34855.0
101, 87.50319194793701, 32225.0
102, 88.13210344314575, 29423.0
103, 89.20921349525452, 28177.0
104, 90.13178944587708, 11501.0
105, 90.87816429138184, 13210.0
106, 91.85416889190674, 14047.0
107, 93.74185919761658, 36244.0
108, 94.14166688919067, 43730.0
109, 95.83744621276855, 9297.0
110, 98.02370238304138, 37379.0
111, 99.5168125629425, 30069.0
112, 99.7195680141449, 11634.0
113, 101.07939410209656, 33871.0
114, 102.07112216949463, 34592.0
115, 102.3270251750946, 18388.0
116, 102.86576700210571, 12683.0
117, 106.04395008087158, 31594.0
118, 108.7103316783905, 25334.0
119, 108.71567821502686, 32621.0
120, 109.29160523414612, 10828.0
121, 110.3045814037323, 7829.0
122, 112.59778022766113, 24896.0
123, 112.75240731239319, 15986.0
124, 113.15765976905823, 26033.0
125, 113.33901047706604, 10358.0
